,best_params,cv_f1_macro_mean,cv_f1_macro_std,val_accuracy,val_f1_macro,val_precision_macro,val_recall_macro
GradientBoosting,"{'learning_rate': 0.1, 'n_estimators': 150}",0.9143061571297688,0.018869170352257783,0.9155555555555556,0.9151964085297419,0.927037037037037,0.9155555555555557
RandomForest,"{'max_depth': None, 'n_estimators': 100}",0.8500363893478087,0.029949877173823705,0.88,0.8827865961199294,0.9077777777777779,0.88
LogisticRegression,{'C': 1.0},0.7473895381095443,0.03271062998168044,0.7511111111111111,0.7536874021909233,0.787670810368642,0.7511111111111112
